StadiumID,home_team_name,City,State,Country,Capacity,PlayingSurface,GeoLat,GeoLong,Type
1,Highmark Stadium,Orchard Park,NY,USA,71608,Artificial,42.773758,-78.786837,Outdoor
2,Hard Rock Stadium,Miami Gardens,FL,USA,64767,Grass,25.958056,-80.238889,Outdoor
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813528,-74.074361,Outdoor
4,Gillette Stadium,Foxborough,MA,USA,65878,Artificial,42.090866,-71.264244,Outdoor
5,Paycor Stadium,Cincinnati,OH,USA,65515,Artificial,39.095309,-84.516003,Outdoor
6,FirstEnergy Stadium,Cleveland,OH,USA,67431,Grass,41.506111,-81.699444,Outdoor
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Grass,39.278056,-76.622778,Outdoor
8,Acrisure Stadium,Pittsburgh,PA,USA,68400,Grass,40.446667,-80.015833,Outdoor
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Artificial,39.760056,-86.163806,RetractableDome
10,TIAA Bank Field,Jacksonville,FL,USA,69132,Grass,30.323889,-81.6375,Outdoor
11,NRG Stadium,Houston,TX,USA,72220,Artificial,29.684722,-95.410833,RetractableDome
12,Nissan Stadium,Nashville,TN,USA,69143,Grass,36.166389,-86.771389,Outdoor
13,Empower Field at Mile High,Denver,CO,USA,76125,Grass,39.743889,-105.020097,Outdoor
14,Qualcomm Stadium,San Diego,CA,USA,70561,Grass,32.783188,-117.119439,Outdoor
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.048889,-94.483889,Outdoor
16,RingCentral Coliseum ,Oakland,CA,USA,53200,Grass,37.751613,-122.200509,Outdoor
17,AT&T Stadium,Arlington,TX,USA,80000,Artificial,32.747778,-97.092778,RetractableDome
18,Lincoln Financial Field,Philadelphia,PA,USA,69796,Grass,39.900833,-75.167469,Outdoor
19,FedEx Field,Landover,MD,USA,82000,Grass,38.907778,-76.864444,Outdoor
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.86232,-87.616699,Outdoor
21,Ford Field,Detroit,MI,USA,65000,Artificial,42.340021,-83.045556,Dome
22,Lambeau Field,Green Bay,WI,USA,81441,Grass,44.501389,-88.062222,Outdoor
23,Mall of America Field,Minneapolis,MN,US,64111,Dome,44.976,-93.225,Dome
24,Raymond James Stadium,Tampa Bay,FL,USA,65618,Grass,27.975833,-82.503333,Outdoor
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,Dome
26,Bank of America Stadium,Charlotte,NC,USA,74867,Artificial,35.225833,-80.852778,Outdoor
27,Caesars Superdome,New Orleans,LA,USA,73208,Artificial,29.950833,-90.081111,Dome
28,Candlestick Park,San Francisco,CA,US,70207,Grass,37.404108,-121.970274,Outdoor
29,State Farm Stadium,Glendale,AZ,USA,63400,Grass,33.528,-112.263036,RetractableDome
30,Edward Jones Dome,St. Louis,MO,USA,66000,Dome,38.632975,-90.188547,Dome
31,Lumen Field,Seattle,WA,USA,68740,Artificial,47.5952,-122.331625,Outdoor
33,Wembley Stadium,London,,UK,86000,Grass,51.555833,-0.279722,Retractable_dome
34,Rogers Centre,Toronto,,CA,86000,Dome,43.64159,-79.390028,Retractable_dome
35,Fawcett Stadium,Canton,OH,USA,22375,Artificial,40.819822,-81.398177,Outdoor
36,Huntington Bank Stadium,Minneapolis,MN,USA,50805,Artificial,44.976,-93.225,Outdoor
37,Levi's Stadium,Santa Clara,CA,USA,68500,Grass,37.403,-121.970274,Outdoor
38,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,93607,Grass,34.014167,-118.287778,Outdoor
39,Camping World Stadium,Orlando,FL,USA,65000,Artificial,28.539062,-81.402749,Outdoor
40,Twickenham Stadium,London,,UK,82000,Grass,51.455936,-0.341516,Outdoor
41,Estadio Azteca,Mexico City,,Mexico,87000,Grass,19.302861,-99.150528,Outdoor
42,U.S. Bank Stadium,Minneapolis,MN,USA,66655,Artificial,44.974288,-93.258,Dome
43,Dignity Health Sports Park,Carson,CA,USA,27000,Grass,33.858663,-118.256666,Outdoor
45,Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Artificial,33.755556,-84.401,RetractableDome
46,Tom Benson Hall of Fame Stadium,Canton,OH,USA,23000,Artificial,40.819906,-81.398157,Outdoor
47,Tottenham Hotspur Stadium,London,,UK,62062,,51.604444,-0.066389,Outdoor
48,Aloha Stadium,Honolulu,HI,USA,50000,Artificial,21.372647,-157.929821,Outdoor
50,Investors Group Field,Winnipeg,,CA,33134,Artificial,49.807778,-97.143056,Outdoor
53,Allegiant Stadium,Las Vegas,NV,USA,65000,Grass,36.090833,-115.183611,Dome
54,SoFi Stadium,Inglewood,CA,USA,70240,Artificial,33.95345,-118.3392,Dome
55,Allianz Arena,Munich,,Germany,75024,Grass,48.218889,11.624722,Outdoor
